,Instrument,Original Yield Maturity
2970,XS1758752635,0.68
2971,XS1756725831,0.323
2972,FR0013311503,1.146
2973,DE000A2GSLC6,0.636
2974,IT0005321663,1.031
2975,XS1756296965,1.447
2976,XS1753809141,1.003
2977,XS1755108344,1.146
2978,XS1755086607,0.608
2979,XS1752475720,1.056
2980,XS1753808929,1.914
2981,FR0013310240,0.834
2982,XS1752476538,0.836
2983,FR0013310018,1.241
2984,XS1750083229,0.586
2985,FR0013310224,1.414
2986,XS1750986744,1.225
2987,XS1751004232,1.157
2988,FR0013310026,0.559
2989,XS1750122225,0.83
2990,IT0005320673,0.583
2991,FR0013310059,0.564
2992,IT0005320673,0.583
2993,XS1748479919,0.546
2994,XS1748436356,1.351
2995,XS1746107975,0.314
2996,XS1748436190,0.588
2997,XS1747444831,1.143
2998,ES0440609347,1.719
2999,XS1747444245,0.49
3000,ES0440609396,1.116
3001,FR0013309549,0.817
3002,DE000LB1M2X2,0.363
3003,XS1737658275,0.594
3004,FR0013302809,0.956
3005,XS1725553066,1.656
3006,XS1731734585,0.411
3007,XS1727499680,0.357
3008,XS1730885073,1.392
3009,DK0030407986,0.335
3010,XS1725630740,0.653
3011,XS1717759499,0.86
3012,XS1725524471,0.438
3013,XS1725677543,1.682
3014,FR0013299435,1.117
3015,XS1725395302,0.569
3016,IT0005315046,1.303
3017,XS1722859532,0.741
3018,XS1722558258,0.414
3019,FR0013298387,-0.026
3020,XS1722897623,1.022
3021,XS1721423462,1.235
3022,XS1721422068,1.991
3023,XS1720642138,0.665
3024,XS1720947917,0.824
3025,XS1720922175,1.11
3026,IT0005314544,0.783
3027,XS1720639779,0.052
3028,XS1720761490,1.583
3029,XS1719154657,0.007
3030,XS1719154574,0.622
3031,XS1719108463,0.383
3032,XS1718316281,1.454
3033,XS1718306050,0.578
3034,PTGALLOM0004,1.061
3035,XS1718418103,1.015
3036,XS1718417717,1.712
3037,XS1716825507,0.772
3038,DE000A2GSLY0,1.069
3039,FR0013296159,1.311
3040,XS1717355561,1.719
3041,FR0013295722,1.581
3042,XS1715325665,0.23
3043,XS1715306012,1.35
3044,XS1711933033,0.272
3045,XS1709509258,0.863
3046,XS1707075245,1.806
3047,XS1707074941,0.497
3048,XS1707075328,1.291
3049,XS1706963284,0.207
3050,XS1706925358,0.58
3051,FI4000266903,0.486
3052,XS1706200463,1.381
3053,XS1705691563,0.169
3054,XS1704789590,1.68
3055,BE0002500750,0.764
3056,DE000BHY0GS9,1.231
3057,FR0013290749,1.931
3058,XS1702729275,1.359
3059,XS1691909920,0.956
3060,XS1699732704,0.625
3061,XS1692396069,0.822
3062,XS1699951767,0.858
3063,FR0013287273,1.62
3064,FR0013287299,0.85
3065,FR0013286838,1.016
3066,FR0013286788,1.236
3067,DE000NLB2Q36,0.465
3068,XS1693818285,0.701
3069,XS1693818525,1.404
3070,XS1577950667,1.562
3071,XS1692489583,
3072,XS1693281534,0.796
3073,XS1693281617,
3074,XS1691781865,1.589
3075,XS1689666870,0.184
3076,XS1690669574,
3077,AT0000A1Y3P7,1.442
3078,FR0013284247,
3079,FR0013284205,1.511
3080,FR0013284270,2.056
3081,FR0013284254,
3082,XS1688199949,1.899
3083,XS1689185426,1.5
3084,FR0013283371,
3085,DK0030403993,1.825
3086,FR0013283140,1.752
3087,XS1686705671,0.705
3088,XS1685798370,0.953
3089,XS1685589027,0.747
3090,XS1685653302,0.934
3091,XS1685653211,1.796
3092,DE000CZ40MC5,1.204
3093,XS168548133,
3094,DE000A2GSFA2,0.58
3095,FR0013281888,0.387
3096,XS1681521081,1.715
3097,BE6298043272,0.758
3098,DE000A13SL75,0.331
3099,DE000A19NS93,1.206
3100,XS1679158094,1.154
3101,XS1678629186,0.974
3102,XS1671760384,0.591
3103,XS1675764945,0.872
3104,XS1678974525,0.36
3105,XS1676952481,0.943
3106,XS1677902162,0.627
3107,DE000A2E4ZE9,0.064
3108,XS1676933853,1.129
3109,XS1673620016,0.226
3110,XS1676933937,0.466
3111,XS1669866300,0.444
3112,XS1672151492,1.865
3113,XS1654229373,1.76
3114,XS1652866002,1.418
3115,XS1652855815,1.529
3116,XS1652856540,2.025
3117,DE000HSH6KQ4,0.121
3118,XS1648298559,0.885
3119,XS1647404554,0.921
3120,XS1645722262,1.99
3121,XS1645503621,
3122,FR0013267473,0.93
3123,FR0013266830,0.81
3124,XS1642738816,0.529
3125,XS1642590480,1.524
3126,FR0013266848,1.892
3127,FR0013266350,1.476
3128,FR0013266368,2.115
3129,DE000A2GSCW3,1.508
3130,DE000A2GSCX1,2.134
3131,XS1638816089,1.388
3132,XS1639488771,1.534
3133,XS1637863629,1.077
3134,XS1637334803,1.012
3135,XS1637332856,0.613
3136,XS1637351138,0.787
3137,XS1637333748,1.589
3138,XS1637162592,1.234
3139,FR0013263951,0.385
3140,XS1637093508,0.747
3141,FR0013262961,0.743
3142,FR0013262698,1.611
3143,XS1633929929,1.065
3144,XS1627602201,1.905
3145,XS163289792,
3146,XS1621087516,1.413
3147,FI4000261201,
3148,XS1627193359,1.382
3149,FR0013260361,1.083
3150,PTBCPIOM0057,0.876
3151,XS1622560842,0.368
3152,FR0013259413,0.562
3153,XS1622193321,1.313
3154,XS1619861864,0.622
3155,XS1622193248,0.365
3156,XS1621351045,1.393
3157,S1619283218,
3158,XS1617845679,1.519
3159,XS1617831026,1.33
3160,XS1617845083,0.972
3161,BE0002280494,1.427
3162,XS1616410061,0.972
3163,XS161641103,
3164,XS1616411119,1.741
3165,XS1615085781,0.552
3166,XS1615085864,1.388
3167,DE000A19HCW0,1.346
3168,DE000A19HCX8,2.101
3169,XS1614202049,0.861
3170,XS1614198262,1.376
3171,FR0013256427,0.227
3172,XS1612958253,0.603
3173,XS161314048,
3174,DE000MHB18J6,0.679
3175,XS1606633912,0.414
3176,DE000BHY0MX,
3177,XS2442965138,
3178,XS1843459436,2.056
3179,XS2442965211,
3180,XS1906458945,
3181,XS2495084621,5.779
